id,parent_id,order,unit_type,source_local_ids,source_path,line_start,line_end,source_sha256,translation_state,rights_component_ids
7addf1c9-9003-5d87-b901-6211727146b0,b4cd26a2-3443-5b4d-9a38-f2d9766ae10a,10,guided_exercise,"[""nexercise-2.1-10"",""R011-B005""]",ch_summarizing_data/TeX/ch_summarizing_data.tex,963,970,315e87cfa644b5b46ef5b39f8963ec7d9d5ca29e7bef8c7ef6515efa216c1b03,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
7c6f18a3-f953-577e-a859-eda10519975c,13d6426f-763c-54c4-97d9-632bb975a7de,4,chapter,"[""introductionToData"",""ch_intro_to_data""]",ch_intro_to_data/TeX/ch_intro_to_data.tex,1,141,09e21d4d7fdca0ac464832a18182580660d623ec8ff4c6b3d621d6a1ba540f3f,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
7cb7707e-3d93-56dc-8117-c4d5dfbc9e3c,06b28e64-c231-50b0-b1f6-648ba4ba5102,2090,guided_exercise,"[""R011-B014""]",ch_distributions/TeX/ch_distributions.tex,539,546,edfd8f8510b78d653d56bc3593dfd1ac583d243871dbf83230c36c1401872ab9,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""5013dc5b-3a29-5516-9948-98c064aa43e8""]"
7d2edadc-70b1-5b76-907f-b289a9d746f7,ae99b71c-708a-5037-863c-1a64f98f58e1,1,companion_gap,"[""R011-B015""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
7d606a5f-8ba7-518f-8651-397ed719dd34,a485ca16-e7af-5fc9-a661-2481b3a87b29,2030,guided_exercise,"[""R011-B012""]",ch_probability/TeX/ch_probability.tex,1950,1955,287309cefadc967d36d87d57932cc06650ed4c13ae203869bf59bb022e05024a,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""f5cfd01e-9712-58ec-ac48-481f923814c1""]"
7dd4a8b0-6956-5804-ae79-259a778f22a2,4855a03b-af6e-56cc-ad3b-7d0f5e26745e,10,answer_section,"[""Summarizing data"",""R011-B005""]",extraTeX/eoceSolutions/eoceSolutions.tex,234,240,4144402b86281cd00257d51664f4d1aa3f1437e271e5fdb0d57b7044cfadb21e,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
7ede0e9f-047f-5ea5-acdf-149e26f70e15,697eee11-37f2-5f2e-8492-16a070ccd069,10,exercise,"[""R011-B009"",""guessing_on_exam""]",ch_probability/TeX/defining_probability.tex,158,171,70be3c21795862de5ddc6f21e1e4d875063e1d4ea9e004beb3985440020aebac,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
7f58e57a-0155-5ff2-b66a-00cb3f12d3f7,06b28e64-c231-50b0-b1f6-648ba4ba5102,2110,guided_exercise,"[""R011-B014""]",ch_distributions/TeX/ch_distributions.tex,626,634,8a6aa7687f1ebcdfdf2ab34211ed3726b98e472259b6c484e4f3c99cbbd463da,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""5013dc5b-3a29-5516-9948-98c064aa43e8""]"
7fb6fb37-23be-57f3-af92-f7f18dbb1210,4855a03b-af6e-56cc-ad3b-7d0f5e26745e,31,exercise,"[""oscar_winners"",""eoce_2_31"",""R011-B008""]",ch_summarizing_data/TeX/review_exercises.tex,63,99,5110f2362dd0499625852be0afc7ee8be3698909f641530a47307fab0cf249f4,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
7fd8dc8e-619e-5d32-a046-da020e549122,38d29400-2764-5109-a7fd-d245c7e52b17,24,exercise,"[""random_digit_dialing"",""eoce_1_24"",""R011-B003""]",ch_intro_to_data/TeX/sampling_principles_and_strategies.tex,204,212,b8a090cde6bac3960b07497a190d4d4cd519f717f514a1b69f0029304539f0da,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
